unit_wilayah,waktu_sidang,pelanggar_perda,satuan_pelanggar,perkara_disidangkan,satuan_yang_disidangkan,denda_biaya_perkara,satuan,verstek,satuan_verstek,verstek_terbayar,satuan_verstek_terbayar,keterangan
Satpol PP Kota Adm. Jakarta Pusat,2017-04-17,86,Orang,63,Orang,6826000,Rupiah,8,Orang,816000,Rupiah,"70 Orang PKL, 1 Reklame tanpa izin di fasos-fasum"
Satpol PP Kota Adm. Jakarta Pusat,2017-04-21,105,Orang,64,Orang,7828000,Rupiah,5,Orang,608000,Rupiah,"61 Orang PKL, 3 Reklame tanpa izin di fasos-fasum"
Satpol PP Kota Adm. Jakarta Pusat,2017-05-12,64,Orang,47,Orang,9994000,Rupiah,0,Orang,0,Rupiah,"63 Orang PKL, 1 Orang nebang pohon tanpa ada izin dari Dinas Kehutanan Prov.DKI Jakarta"
Satpol PP Kota Adm. Jakarta Pusat,2017-09-15,216,Orang,156,Orang,15912000,Rupiah,1,Orang,25002000,Rupiah,tidak hadir 59 orang 
Satpol PP Kota Adm. Jakarta  Barat,2017-05-17,80,Orang,80,Orang,12010000,Rupiah,6,Orang,612000,Rupiah,
Satpol PP Kota Adm. Jakarta Barat,2017-05-18,26,Orang,26,Orang,3902000,Rupiah,0,Orang,0,Rupiah,
Satpol PP Kota Adm. Jakarta Barat,2017-09-12,83,Orang,66,Orang,10032000,Rupiah,17,Orang,0,Rupiah,
Satpol PP Kota Adm. Jakarta Utara,2017-02-23,43,Orang,43,Orang,4515000,Rupiah,,,0,Rupiah,43 Orang PKL
Satpol PP Kota Adm. Jakarta Utara,2017-04-11,66,Orang,66,Orang,9966000,Rupiah,,,0,Rupiah,66 Orang PKL
Satpol PP Kota Adm. Jakarta Utara,2017-08-09,67,Orang,60,Orang,20000000,Rupiah,7,Orang,0,Rupiah,67 Orang PKL
Satpol PP Kota Adm. Jakarta Selatan,2017-05-05,90,Orang,55,Orang,10950000,Rupiah,0,Orang,0,Rupiah,"78 Orang PKL, 12 Orang Penjual Minuman Beralkohol"
Satpol PP Kota Adm. Jakarta Selatan,2017-09-08,85,Orang,66,Orang,7150000,Rupiah,19,Orang,0,Rupiah,
Satpol PP Kota Adm. Jakarta Timur,2017-05-19,77,Orang,77,Orang,19215000,Rupiah,77,Orang,0,Rupiah,63 Hadir PKL
Satpol PP Kota Adm. Jakarta Timur,2017-08-25,84,Orang,59,Orang,6455000,Rupiah,25,Orang,0,Rupiah,59 Hadir PKL
Satpol PP Kota Adm. Jakarta Timur,2017-09-29,79,Orang,56,Orang,14800000,Rupiah,12,Orang,0,Rupiah,56 Hadir PKL
